Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
1106;;MARQUESINA MOD XXI 5-M STD;PUENTE DE VALLECAS;JAVIER DE MIGUEL;CALLE;0;ESQ C/ ANTONIO FOLGUERAS;MARTINEZ RIVA;JAVIER DE MIGUEL, CALLE Nº0 ESQ C/ ANTONIO FOLGUERAS MARTINEZ RIVA;443995,0625;4471240,5;SI;103, 310;443885,623;4471032,984;-3.661146893;40.38809631
1107;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;PAYASO FOFO;CALLE;0;FTE Nº 24;AV ALBUFERA;PAYASO FOFO, CALLE Nº0  FTE Nº 24  AV ALBUFERA;444079;4471491;SI;103;443969,56;4471283,483;-3.660179966;40.3903586
1110;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;PAYASO FOFO;CALLE;0;ESQ C/ PUERTO MONASTERIO;C/ CANDILEJAS;PAYASO FOFO, CALLE Nº0 ESQ C/ PUERTO MONASTERIO C/ CANDILEJAS;444118;4471697;SI;103;444008,561;4471489,483;-3.659738543;40.39221699
1113;;MARQUESINA MOD XXI 4-M STD;PUENTE DE VALLECAS;IMAGEN;CALLE;0;FTE Nº 17;AV ENTREVIAS;IMAGEN, CALLE Nº0 FTE Nº 17 AV ENTREVIAS;443465,3125;4470801,5;SI;103, 111, 144;443355,873;4470593,99;-3.667349245;40.38410575
1117;;MARQUESINA MOD XXI 5-M STD;ARGANZUELA;PIRAMIDES;GTA;0;FTE  Pº ACACIAS;PZA LEGAZPI;PIRAMIDES, GTA Nº0 FTE  Pº ACACIAS PZA LEGAZPI;439507,3438;4472656;SI;18;439397,936;4472448,533;-3.714153604;40.40053395
1118;;MARQUESINA MOD XXI 4-M STD;ARGANZUELA;YESERIAS;Pº;0;FTE Nº 33;LEGAZPI;YESERIAS, Pº Nº0 FTE Nº 33 LEGAZPI;439955;4472417;SI;18, N12;439845,589;4472209,529;-3.708856023;40.39841333
1121;;MARQUESINA MOD XXI 5-M STD;ARGANZUELA;CHOPERA (DE LA);Pº;3;ESQ Pº STA MARIA DE LA CABEZA;Pº YESERIAS;CHOPERA (DE LA), Pº Nº3 ESQ Pº STA MARIA DE LA CABEZA Pº YESERIAS;440508;4472200;SI;18, 62, N12;440398,585;4471992,524;-3.702319568;40.39649819
1123;;MARQUESINA MOD XXI 4-M STD;ARGANZUELA;CHOPERA (DE LA);Pº;45;ESQ PZA GRAL MATARO;Pº YESERIAS;CHOPERA (DE LA), Pº Nº45 ESQ PZA GRAL MATARO Pº YESERIAS;440883,9375;4471846;SI;6, 18, 78, 148, N12, N14;440774,52;4471638,521;-3.697857028;40.39333595
1124;;MARQUESINA MOD XXI 4-M STD;ARGANZUELA;CHOPERA (DE LA);Pº;0;ANTES PZA LEGAZPI (2ª MQ);PZA DE LEGAZPI;CHOPERA (DE LA), Pº Nº0 ANTES PZA LEGAZPI (2ª MQ) PZA DE LEGAZPI;441041;4471664;SI;6, 18, 78, 148, N12, N14;440931,581;4471456,52;-3.695989596;40.39170753
1125;;MARQUESINA MOD XXI 5-M STD;ARGANZUELA;CHOPERA (DE LA);Pº;71;ANT C/ ENRIQUE TROMPETA;Pº YESERIAS;CHOPERA (DE LA), Pº Nº71 ANTES C/ ENRIQUE TROMPETA Pº YESERIAS;441042;4471704;SI;6, 18, 78, 148, N12, N14;440932,581;4471496,52;-3.695981517;40.39206794
1135;;MARQUESINA MOD XXI 5-M STD;USERA;ANDALUCIA;AV;0;DESP AV DE LOS POBLADOS (2ª MARQUESINA);ANDALUCIA;ANDALUCIA, AV Nº0 DESP AV DE LOS POBLADOS (2ª MARQUESINA) ANDALUCIA;441130;4469306;SI;18, 22, 59, 79, 85, 86, N13, N14;441020,559;4469098,513;-3.694723118;40.37047168
1136;;MARQUESINA MOD XXI 5-M STD;USERA;ANDALUCIA;AV;;FTE AV DE LA PERLA Nº 27;AV SAN FERMIN;ANDALUCIA, AV Nº FTE AV DE LA PERLA Nº 27 AV SAN FERMIN;441168,9375;4469287,5;SI;18, 22, 59, 79, 85, 86, N13, N14;441059,496;4469080,012;-3.694262786;40.37030778
1139;;MARQUESINA MOD XXI 5-M STD;VILLAVERDE;VERBENA DE LA PALOMA;AV;8;FTE Nº 5;CIUDAD ANGELES;VERBENA DE LA PALOMA, AVD Nº8 FTE Nº 5 CIUDAD ANGELES;441055;4468216;SI;18, 86, N14;440945,547;4468008,51;-3.695505746;40.36064705
1142;;MARQUESINA MOD XXI 5-M STD;VILLAVERDE;VERBENA DE LA PALOMA;AV;29;DESP C/LA DEL SOTO DEL PARRAL;CTRA ANDALUCIA;VERBENA DE LA PALOMA, AVD Nº29 DESP C/LA DEL SOTO DEL PARRAL CTRA ANDALUCIA;441023;4467925;SI;18, 86;440913,544;4467717,509;-3.695855696;40.35802329
1143;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;BOHEMIOS;CALLE;0;ESQ C/ LA DEL MANOJO DE ROSAS;MANOJO DE ROSAS;BOHEMIOS, CALLE Nº0 ESQ C/ LA DEL MANOJO DE ROSAS MANOJO DE ROSAS;440947,4375;4467762;SI;18, 86, N14;440837,981;4467554,51;-3.696730455;40.35654954
1144;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;MANOJO DE ROSAS (LA DEL);CALLE;80;-;C/ ALCOCER;MANOJO DE ROSAS (LA DEL),CALLE Nº80 - C/ ALCOCER;440839,4688;4467588,5;SI;18, 86, 116;440730,011;4467381,01;-3.697985811;40.3549789
1145;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;MANOJO DE ROSAS (LA DEL);CALLE;0;ESQ C/ ANOETA;C/ ALCOCER;MANOJO DE ROSAS (LA DEL),CALLE Nº0 ESQ C/ ANOETA C/ ALCOCER;440764;4467375;SI;18, 86, 116, N14;440654,54;4467167,51;-3.698854692;40.35305021
1147;;MARQUESINA MOD XXI 4-M REDUCIDA ;VILLAVERDE;ALEGRIA DE LA HUERTA;CALLE;41;PROX. C/ ANOETA;VERBENA PALOMA;ALEGRIA DE LA HUERTA, CALLE Nº41 PROX. C/ ANOETA VERBENA PALOMA;441081;4467428;SI;18, 86, 116, N14;440971,538;4467220,507;-3.695126771;40.35355012
1150;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;MARCELINO CAMACHO;Pº;35;C/ ANTOLINA MERINO;GRAL. RICARDOS;MARCELINO CAMACHO, Pº Nº35 C/ ANTOLINA MERINO GRAL. RICARDOS;437063,625;4471166,5;SI;35, N17;436954,226;4470959,047;-3.742802227;40.38693473
1152;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;NTRA. SRA. DE FATIMA;AV;82;FTE CAMPO DE LA MINA;EUGENIA MONTIJO;NTRA. SRA. DE FATIMA, AV Nº82 FTE CAMPO DE LA MINA EUGENIA MONTIJO;436628,9375;4470689,5;SI;35, N17;436519,538;4470482,051;-3.747875923;40.38260475
1154;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;NTRA. SRA. DE FATIMA;AV;92;DESP.C/CODORNIZ;C/EUGENIA MONTIJO;NTRA. SRA. DE FATIMA, AV Nº92 DESP.C/CODORNIZ C/EUGENIA MONTIJO;436566,6875;4470457;SI;35, N17;436457,287;4470249,551;-3.748586109;40.38050555
1158;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;CARABANCHEL ALTO;AV;66;ESQ C/ DE LA PIÑA;LEGANES;CARABANCHEL ALTO, AV Nº66 ESQ C/ DE LA PIÑA LEGANES;436155,8125;4469276;SI;35, 47, N17;436046,404;4469068,553;-3.753307948;40.3698352
1162;;MARQUESINA MOD XXI 5-M REDUCIDA ;CARABANCHEL;CRUCES (LAS);Cº;0;FTE Nº 25;JOAQUIN TURINA;CRUCES (LAS), CAMINO Nº0 FTE Nº 25 JOAQUIN TURINA;435557,0938;4469211;SI;35, 47, N17;435447,69;4469003,558;-3.760353209;40.36920356
1163;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;MARIANISTAS;CALLE;1;ESQ C/ GOMEZ DE ARTECHE;AV. CARABANCHEL ALTO;MARIANISTAS, CALLE Nº1 ESQ C/ GOMEZ DE ARTECHE AV. CARABANCHEL ALTO;435753;4469128;SI;35, 47;435643,594;4468920,556;-3.758037443;40.36847099
1169;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;PESETA (DE LA);AV;86;DESP C/ ONCE VIGAS;VIA LUSITANA;PESETA (DE LA), AV Nº86 DESP C/ ONCE VIGAS VIA LUSITANA;436311;4468406;SI;35, 118, 155;436201,581;4468198,55;-3.75139322;40.36200971
1171;;MARQUESINA MOD XXI 5-M STD;ARGANZUELA;DELICIAS;Pº;139;DESP. PLZ. LEGAZPI;GTA. CARLOS V;DELICIAS, Pº Nº139 DESP. PLZ. LEGAZPI GTA. CARLOS V;441146;4471712;SI;19;441036,581;4471504,519;-3.694756903;40.39214737
1172;;MARQUESINA MOD XXI 5-M STD;VILLAVERDE;ANDALUCIA;AV;;DESP C/ VERBENA DE LA PALOMA;ANDALUCIA;ANDALUCIA, AV Nº DESP C/ VERBENA DE LA PALOMA  ANDALUCIA;441210,9063;4468213,5;SI;22, 59, 79, 85;441101,452;4468006,009;-3.693669443;40.36063553
1174;7664;MARQUESINA MOD XXI 5-M STD;VILLAVERDE;ANDALUCIA;AV;0;DESP. C/ BOHEMIOS;AV ANDALUCIA;ANDALUCIA, AV Nº0 DESP. C/ BOHEMIOS AV ANDALUCIA;441239;4467694;SI;22, 59, 79, 85;441129,54;4467486,507;-3.693290735;40.35595756
1179;;MARQUESINA MOD XXI 5-M STD;VILLAVERDE;BURJASOT;CALLE;0;ESQ C/ BENIFERRI;C/ GODELLA;BURJASOT, CALLE Nº0 ESQ C/ BENIFERRI C/ GODELLA;441414;4466499;SI;59, 79, N13;441304,526;4466291,502;-3.691120232;40.3452046
1181;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;ROCAFORT;CALLE;0;FTE C/ MONCADA;AV ANDALUCIA;ROCAFORT, CALLE Nº0 FTE C/ MONCADA AV ANDALUCIA;441334,9375;4466147,5;SI;59, 79, N13;441225,461;4465940,001;-3.692018818;40.34203251
1182;;MARQUESINA MOD XXI 5-M STD;ARGANZUELA;DELICIAS;Pº;95;-;GTA CARLOS V;DELICIAS, Pº Nº97 - GTA CARLOS V;441174;4472073;SI;8, 19, 45, 47, 59, 85, 86, 247;441064,581;4471865,519;-3.69446035;40.39540143
1184;8211;MARQUESINA MOD XXI 5-M REDUCIDA ;ARGANZUELA;DELICIAS;Pº;47;-;GTA CARLOS V;DELICIAS, Pº Nº47 - GTA CARLOS V;441259;4472892;SI;6, 19, 45, 47, 55, 59, 85, 86, 247, N14;441149,583;4472684,519;-3.693534382;40.4027854
1188;;MARQUESINA MOD XXI 4-M STD;ARGANZUELA;EMBAJADORES;CALLE;0;ESQ. PZA. BEATA MARIA ANA DE JESUS;M-30;EMBAJADORES, CALLE Nº0 ESQ. PZA. BEATA MARIA ANA DE JESUS M-30;441095;4472032;SI;8, 19, 45, 47, 59, 85, 86, 247;440985,582;4471824,52;-3.6953874;40.39502649
1189;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;VIRGEN DESAMPARADOS;CALLE;4;-;C/ ALCOCER;VIRGEN DESAMPARADOS, CALLE Nº4 - C/ ALCOCER;440758;4467192;SI;18, 86, 116, N14;440648,538;4466984,51;-3.698908355;40.35140121
1191;8992;MARQUESINA MOD XXI 5-M REDUCIDA ;VILLAVERDE;ALCOCER;CALLE;0;FTE C/ LITOS;REAL DE PINTO;ALCOCER, CALLE Nº0 FTE C/ LITOS REAL DE PINTO;440572,0938;4467023;SI;22, 86, 130, N14;440462,631;4466815,511;-3.701081689;40.34986553
1192;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;ALCOCER;CALLE;25;-;CTRA ANDALUCIA;ALCOCER, CALLE Nº25 - CTRA ANDALUCIA;440674,0313;4466986,5;SI;22, 86, 130, N14;440564,567;4466779,01;-3.699877995;40.34954398
1193;;MARQUESINA MOD XXI 5-M REDUCIDA;VILLAVERDE;ALCOCER;CALLE;0;JTO APEADERO RENFE;REAL DE PINTO;ALCOCER, CALLE Nº0 JTO APEADERO RENFE REAL DE PINTO;440163;4467057;SI;22, 76, 86, 130, N14;440053,54;4466849,515;-3.705901903;40.35014257
1194;;MARQUESINA MOD XXI 5-M STD;VILLAVERDE;ALCOCER;CALLE;45;ANTES DE C/ SAN JENARO;AV. ANDALUCIA;ALCOCER, CALLE Nº45 ANTES DE C/ SAN JENARO AV. ANDALUCIA;440207;4467030;SI;22, 76, 86, 130, N14;440097,54;4466822,514;-3.705381277;40.3499025
1199;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;CIUDAD LINEAL;PZA;0;ESQ C/ ARTURO SORIA A 10 MTS 1º ISLETA;C/ ALCALA;CIUDAD LINEAL, PZA. Nº0 ESQ C/ ARTURO SORIA A 10 MTS 1º ISLETA C/ ALCALA;445938,625;4476794;SI;4, 77, 104, 109, 113;445829,195;4476586,464;-3.638720439;40.43825397
1202;;MARQUESINA MOD XXI 4-M STD;SAN BLAS-CANILLEJAS;ARCOS DEL JALON;CALLE;0;ESQ C/ SAN ROMAN DEL VALLE;AV. AJALVIR-VIC;ARCOS DEL JALON, CALLE Nº0 ESQ C/ SAN ROMAN DEL VALLE AV. AJALVIR-VIC;447351;4474828;SI;4;447241,555;4474620,44;-3.62190504;40.42063371
1204;;MARQUESINA MOD XXI 4-M STD;SAN BLAS-CANILLEJAS;ARCOS DEL JALON;CALLE;48;ESQ. C/ AMPOSTA;AV AJALVIR-VICA;ARCOS DEL JALON, CALLE Nº48 ESQ. C/ AMPOSTA AV AJALVIR-VICA;447657;4475062;SI;4;447547,556;4474854,435;-3.618317358;40.42276103
1211;;MARQUESINA MOD XXI 4-M REDUCIDA;SAN BLAS-CANILLEJAS;CANILLEJAS A VICALVARO;AV;0;FTE. C/ TOSCANA;C/ ALCALA;CANILLEJAS A VICALVARO, AV. Nº0 FTE. C/ TOSCANA C/ ALCALA;448285;4474710;SI;4, 106, SE ALSACIA - CAÑAVERAL;448175,552;4474502,424;-3.610886;40.41962927
1214;;MARQUESINA MOD XXI 4-M STD;VICALVARO;CASALARREINA;CALLE;21;ESQ C/ CALAHORRA;PZA VICALVARADA;CASALARREINA, CALLE Nº21 ESQ C/ CALAHORRA PZA VICALVARADA;448026;4473504;SI;4;447916,546;4473296,426;-3.613840358;40.40874872
1215;;MARQUESINA MOD XXI 5-M STD;VICALVARO;CASALARREINA;CALLE;5;ESQ PZA VICALVARADA;PZA VICALVARADA;CASALARREINA, CALLE Nº5 ESQ PZA VICALVARADA PZA VICALVARADA;448292;4473575;SI;4;448182,546;4473367,421;-3.610711226;40.4094049
1222;;MARQUESINA MOD XXI 5-M STD;CENTRO;ALBERTO AGUILERA;CALLE;23;-;CARRANZA;ALBERTO AGUILERA, CALLE Nº23 - CARRANZA;439803;4475927;SI;21;439693,601;4475719,537;-3.710979247;40.43002205
1224;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;ALBERTO AGUILERA;CALLE;10;FTE Nº 3;C/ PRINCESA;ALBERTO AGUILERA, CALLE Nº10 FTE Nº 3 C/ PRINCESA;440130,8125;4475915;SI;21;440021,411;4475707,534;-3.707113592;40.42993762
1228;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;SAGASTA;CALLE;19;ANT DE C/ FCO. DE ROJAS;GTA DE BILBAO;SAGASTA, CALLE Nº19 ANTES DE C/ FCO. DE ROJAS GTA DE BILBAO;440815;4475762;SI;21;440705,593;4475554,527;-3.699033574;40.4286083
1229;;MARQUESINA MOD XXI 5-M STD;CENTRO;GENOVA;CALLE;6;JTO CAJA POSTAL;PZA DE COLON;GENOVA, CALLE Nº6 JTO CAJA POSTAL PZA DE COLON;441144,75;4475617;SI;21, 37, N23;441035,341;4475409,524;-3.695132854;40.42732547
1232;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;GENOVA;CALLE;27;JTO BANCO B.N.P.;C/ SAGASTA;GENOVA, CALLE Nº27 JTO BANCO B.N.P. C/ SAGASTA;441408;4475473;SI;21, N23, N25, N26;441298,589;4475265,521;-3.692016287;40.42604684
1234;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;ROBERTO DOMINGO;CALLE;0;ESQ AV DONOSTIARRA;C/ BRASILIA;ROBERTO DOMINGO, CALLE Nº0 ESQ AV DONOSTIARRA C/ BRASILIA;444059;4476442;SI;21;443949,577;4476234,489;-3.660850976;40.43495863
1236;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;DONOSTIARRA;AV;12;FTE Nº 11;PZA JOSE BANUS;DONOSTIARRA, AV Nº12 FTE Nº 11 PZA JOSE BANUS;444265,9688;4476437;SI;21, 48;444156,545;4476229,486;-3.658410415;40.43492748
1239;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;VIRGEN DEL LLUC;CALLE;;FRENTE AL Nº 4;AV. DONOSTIARRA;VIRGEN DEL LLUC, CALLE Nº FRENTE AL Nº 4 AV. DONOSTIARRA;444521;4476416;SI;21;444411,575;4476208,482;-3.655401811;40.43475536
1243;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;JUAN PEREZ DE ZUÑIGA;CALLE;0;DESP C/ VIRGEN DE LA NOVENA;C/ ARTURO SORIA;JUAN PEREZ DE ZUÑIGA, CALLE Nº0 DESP C/ VIRGEN DE LA NOVENA C/ ARTURO SORIA;445021;4477074;SI;21;444911,575;4476866,476;-3.649563852;40.44071619
1248;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;JUAN PEREZ DE ZUÑIGA;CALLE;47;-;C/ VIRGEN DEL VAL;JUAN PEREZ DE ZUÑIGA, CALLE Nº47 - C/ VIRGEN DEL VAL;445268;4477541;SI;21;445158,576;4477333,474;-3.646691752;40.44493947
1254;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;GOYA;CALLE;114;FTE Nº 135;DR. ESQUERDO;GOYA, CALLE Nº114 FRENTE Nº 135 DR. ESQUERDO;443297;4475281;SI;30;443187,577;4475073,498;-3.669731226;40.42444813
1259;;MARQUESINA MOD XXI 4-M STD;HORTALEZA;PRUNOS (DE LOS);AV;11;DESP C/ PETUNIAS;AV ARROYO SANTO;PRUNOS (DE LOS), AV Nº11 DESP C/ PETUNIAS AV ARROYO SANTO;447574,2188;4478514;SI;153;447464,794;4478306,444;-3.61957801;40.45385347
1261;;MARQUESINA MOD XXI 5-M STD;MORATALAZ;VINATEROS;Cº;0;ESQ. ARROYO DE LA MEDIA LEGUA;C/ DR. ESQUERDO;VINATEROS, CAMINO Nº0 ESQ. ARROYO DE LA MEDIA LEGUA C/ DR. ESQUERDO;444439;4473774;SI;30, 32, N8;444329,566;4473566,48;-3.656137707;40.4109493
1262;;MARQUESINA MOD XXI 5-M REDUCIDA;MORATALAZ;ARROYO MEDIA LEGUA;CALLE;0;ESQ C/ CORREGIDOR MENDO ZUÑIGA;C/ SIERRA TOLEDANA;ARROYO MEDIA LEGUA, CALLE Nº0 ESQ C/ CORREGIDOR MENDO ZUÑIGA C/ SIERRA TOLEDANA;444403;4473649;SI;30, 32, 113, N8;444293,566;4473441,481;-3.656551067;40.40982082
1264;;MARQUESINA MOD XXI 4-M STD;MORATALAZ;ENTREARROYOS;CALLE;84;-;SANCHO CORDOBA;ENTREARROYOS, CALLE Nº84 - SANCHO CORDOBA;444530;4473477;SI;30, 32, N8;444420,564;4473269,479;-3.655039322;40.40827982
1269;;MARQUESINA MOD XXI 4-M STD;MORATALAZ;PICO DE LOS ARTILLEROS;CALLE;0;FRENTE AL Nº 61;C/ENCOMIENDA PALACIO;PICO DE LOS ARTILLEROS, CALLE Nº0 FRENTE AL Nº 61 C/ENCOMIENDA PALACIO;445626;4473100;SI;30, 71;445516,556;4472892,463;-3.642090545;40.4049559
1270;;MARQUESINA MOD XXI 4-M STD;MORATALAZ;PICO DE LOS ARTILLEROS;CALLE;102;-;HACIENDA PAVONE;PICO DE LOS ARTILLEROS, CALLE Nº102 - HACIENDA PAVONE;445787;4473203;SI;30;445677,555;4472995,461;-3.640201996;40.40589429
1271;;MARQUESINA MOD XXI 5-M STD;MORATALAZ;PICO DE LOS ARTILLEROS;CALLE;27;ESQ C/ LUIS DE HOYOS SAINZ;DR.GARCIA TAPIA;PICO DE LOS ARTILLEROS, CALLE Nº27 ESQ C/ LUIS DE HOYOS SAINZ DR.GARCIA TAPIA;445862;4473263;SI;30, 32;445752,555;4473055,46;-3.639323242;40.40643969
1272;;MARQUESINA MOD XXI 4-M STD;MORATALAZ;PICO DE LOS ARTILLEROS;CALLE;1;ESQ. AV. DR. GARCIA TAPIA;AV. DR.GARCIA TAPIA;PICO DE LOS ARTILLEROS, CALLE Nº1 ESQ. AV. DR. GARCIA TAPIA AV. DR.GARCIA TAPIA;445761;4473584;SI;30, 32, N8;445651,557;4473376,462;-3.640540876;40.40932487
1273;;MARQUESINA MOD XXI 5-M STD;MORATALAZ;CORREG. LIC. ANTONIO MENA;PZA;0;ESQ C/ PICO ARTILLEROS;PICO ARTILLEROS;CORREG. LIC. ANTONIO MENA, PZA Nº0 ESQ C/ PICO ARTILLEROS PICO ARTILLEROS;445722,375;4473601,5;SI;30, 32;445612,932;4473393,962;-3.640997579;40.40948001
1274;;MARQUESINA MOD XXI 4-M STD;MORATALAZ;DR. GARCIA TAPIA;AV;192;ESQ C/MOLINA DE SEGURA;VICALVARO;DR. GARCIA TAPIA, AVD Nº192 ESQ C/MOLINA DE SEGURA VICALVARO;445988,5938;4473532,5;SI;30, N8;445879,15;4473324,959;-3.637854225;40.40887573
1283;10837;MARQUESINA MOD XXI 5-M REDUCIDA;CHAMARTIN;AMERICA;AV;0;DESPUÉS M-30;MARIA DE MOLINA;AMERICA, AV Nº0 DESPUÉS M-30 MARIA DE MOLINA;443709,1563;4477378,5;SI;114, 115, N4;443599,738;4477170,994;-3.665058541;40.44337148
1285;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;AMERICA;AV;0;BAJO PUENTE C/ ARTURO SORIA;Mª DE MOLINA;AMERICA, AV Nº0 BAJO PUENTE C/ ARTURO SORIA Mª DE MOLINA;444797,3125;4477875,5;SI;115, 200;444687,893;4477667,982;-3.652270975;40.4479217
1289;;MARQUESINA MOD XXI 5-M STD;HORTALEZA;MEDUSA;GTA;0;ESQ C/ LUIS DE LA MATA;AV DE LOGROÑO;MEDUSA, GTA Nº0 ESQ C/ LUIS DE LA MATA AV DE LOGROÑO;448137,3438;4478268,5;SI;105, 114, 115;448027,916;4478060,934;-3.612916901;40.4516772
1291;;MARQUESINA MOD XXI 5-M STD;HORTALEZA;GUADALAJARA;CALLE;7;FTE Nº 24;C/ ALCALA;GUADALAJARA, CALLE Nº7 FTE Nº 24 C/ ALCALA;447957,7188;4478312;SI;105, 115, 153;447848,292;4478104,437;-3.615038755;40.45205785
1292;;MARQUESINA MOD XXI 4-M STD;HORTALEZA;AMERICA;AV;0;FTE AV LOGROÑO (2ª MQ);ALAMEDA DE OSUNA;AMERICA, AV Nº0 FTE AV LOGROÑO (2ª MQ) ALAMEDA DE OSUNA;448567,0625;4478081,5;SI;114, 115;448457,633;4477873,926;-3.607834146;40.4500193
1297;;MARQUESINA MOD XXI 4-M STD;BARAJAS;AMERICA;AV;0;DESP C/ OBENQUE;CENTRO;AMERICA, AV Nº0 DESP C/ OBENQUE CENTRO;449511;4478125;SI;101, 114, 115, 151, N4;449401,569;4477917,411;-3.59670615;40.45046906
1299;;MARQUESINA MOD XXI 5-M STD;BARAJAS;HISPANIDAD;AV;0;JTO BALANDRO;AV AMERICA;HISPANIDAD, AV. Nº0   JTO BALANDRO  AV AMERICA;449972,5313;4478142;SI;101, 115, 151, N4;449863,099;4477934,403;-3.591264803;40.45065012
1307;;MARQUESINA MOD XXI 4-M STD;BARAJAS;MANUEL AGUILAR MUÑOZ;CALLE;34;ESQ C/ RIOJA;AV CANTABRIA;MANUEL AGUILAR MUÑOZ, CALLE Nº34 ESQ C/ RIOJA AV CANTABRIA;450190;4478954;SI;112, 115, 151, N4, SE BARAJAS - HOSPITAL RAMON Y CAJAL;450080,573;4478746,403;-3.588763968;40.45797818
1309;;MARQUESINA MOD XXI 4-M STD;BARAJAS;BREZOS (LOS);CALLE;0;FTE C/ ANTONIO SANCHA;AV LOGROÑO;BREZOS (LOS), CALLE Nº0 FTE C/ ANTONIO SANCHA AV LOGROÑO;450252,3125;4479304;SI;105, 112, 115, 151, SE BARAJAS - HOSPITAL RAMON Y CAJAL;450142,888;4479096,403;-3.58805649;40.46113492
1314;;MARQUESINA MOD XXI 5-M STD;BARAJAS;LOGROÑO;AV;0;ANTES C/ MARQUES DE BERNA;AV AMERICA;LOGROÑO, AV Nº0 ANTES C/ MARQUES DE BERNA AV AMERICA;450516,2813;4479758,5;SI;105, 112, 115, N4;450406,859;4479550,901;-3.58497854;40.4652451
1322;7380;MARQUESINA MOD XXI 4-M STD;BARAJAS;LOGROÑO;AV;321;DESP. C/ ALGEMESI;AV. DE AMERICA;LOGROÑO, AV Nº321 DESP. C/ ALGEMESI AV. DE AMERICA;450778,0625;4480551;SI;105, 115, SE BARAJAS - HOSPITAL RAMON Y CAJAL;450668,646;4480343,4;-3.58195225;40.47239998
1323;;MARQUESINA MOD XXI 4-M STD;BARAJAS;GRAN PODER (DEL);CALLE;0;JTO PZA NTRA. SRA. LORETO;AV LOGROÑO;GRAN PODER (DEL), CALLE Nº0 JTO PZA NTRA. SRA. LORETO AV LOGROÑO;450445,2813;4480520,5;SI;115;450335,865;4480312,905;-3.585875529;40.47210542
1325;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;ALBERTO AGUILERA;CALLE;26;-;C/ PRINCESA;ALBERTO AGUILERA, CALLE Nº26 - C/ PRINCESA;439884;4475948;SI;21, M2;439774,6;4475740,536;-3.710026339;40.43021709
1327;;MARQUESINA MOD XXI 4-M STD;MORATALAZ;DR. GARCIA TAPIA;AV;0;ESQ C/FUENTE CARRANTONIA;M-30;DR. GARCIA TAPIA, AVD Nº0 ESQ C/FUENTE CARRANTONIA M-30;446499;4473438;SI;30;446389,552;4473230,451;-3.631830979;40.40805739
1329;;MARQUESINA MOD XXI 5-M REDUCIDA;MONCLOA-ARAVACA;MELENDEZ VALDES;CALLE;0;ESQ ARCIPRESTE DE HITA (3ª MQ);C/ PRINCESA;MELENDEZ VALDES, CALLE Nº0 ESQ ARCIPRESTE DE HITA (3ª MQ) C/ PRINCESA;439231,6563;4476291,5;SI;82, 132;439122,262;4476084,044;-3.717749561;40.43326407
1331;;MARQUESINA MOD XXI 4-M REDUCIDA;MONCLOA-ARAVACA;MEMORIA ;AV;;PROXIMO AV. DE SENECA;C/PRINCESA;MEMORIA, AV Nº PROXIMO AV. DE SENECA C/PRINCESA;438654;4476836;SI;46, 82, 83, 132, 133, 162, G, U;438544,612;4476628,551;-3.724612325;40.43812672
1352;9058;MARQUESINA MOD XXI 5-M REDUCIDA;FUENCARRAL-EL PARDO;CARDENAL HERRERA ORIA;AV;0;FTE Nº 340;C/LLANOS CASTELLANOS;CARDENAL HERRERA ORIA, AV. Nº0 FTE Nº 340 C/LLANOS CASTELLANOS;437981;4481121;SI;83, 133;437871,635;4480913,575;-3.7329658;40.47667757
