PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,EQUIPAMIENTO_CLEANED,DEPORTE,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
4557842,Instalación Deportiva Municipal Básica Euterpe,,, campo de futbol (cesped artificial),campo de futbol 11,futbol 11,Bus: 77,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5e475944bae1110VgnVCM1000000b205a0aRCRD,EUTERPE,CALLE,V,1,,,,,MADRID,MADRID,28022,6,REJAS,20,SAN BLAS-CANILLEJAS,449949,4477803,40.44749880003797,-3.5915203945028886,,,,CamposEstadiosFutbol, 
4556640,Instalación Deportiva Municipal Básica Guadalajara,,, campo de futbol (cesped artificial) campos de futbol  (cesped artificial),campo de futbol 11,futbol 11,"Bus:  4 , 70 , 106 , 140 , 153",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8add2414d35e1110VgnVCM1000000b205a0aRCRD,GUADALAJARA,AVENIDA,V,S/N,,,,,MADRID,MADRID,28032,4,ARCOS,20,SAN BLAS-CANILLEJAS,447550,4474613,40.42048481589473,-3.618277425225656,,,,CamposEstadiosFutbol, 
4556640,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4549105,Instalación Deportiva Municipal Básica Hogar del Ferroviario,,, campo de futbol ,campo de futbol 11,futbol 11,"Metro: EstrellaBus: 8 , 20 , 30 , 32 , 113",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4bed787f05d91110VgnVCM2000000c205a0aRCRD,MEDITERRANEO,AVENIDA,V,S/N,,,,"Colonia Ferroviarios, frente a Manuel Mª Arrillaga, 51",MADRID,MADRID,28030,5,FONTARRON,14,MORATALAZ,444009,4473345,40.40695911649336,-3.6611698838232107,,,,CamposEstadiosFutbol, 
4547279,Instalación Deportiva Municipal Básica Isla de Tabarca,,,campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Metro: Avenida de la Ilustración, PeñagrandeBus:  42 , 67 , 127 , 137",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1b1898d6f7291110VgnVCM2000000c205a0aRCRD,SANTIAGO DE COMPOSTELA,CALLE,V,104,,,,c/v Isla de Tabarca,MADRID,MADRID,28035,3,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,438898,4480931,40.476809546000716,-3.7208537072021843,,,,CamposEstadiosFutbol, 
5566865,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4547304,Instalación Deportiva Municipal Básica La Cabrera,,, campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Metro: Antonio MachadoBus: 42 , 127 , 132 , 137",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fafb36f24b291110VgnVCM2000000c205a0aRCRD,LA CABRERA,CALLE,V,33,,,,,MADRID,MADRID,28035,3,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,439156,4480623,40.4721901295831,-3.7190584034452194,,,,CamposEstadiosFutbol, 
4555274,Instalación Deportiva Municipal Básica La Chimenea,,, campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Metro: Usera.Bus: 23 , 55 , 60.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c7c1baac93dd1110VgnVCM1000000b205a0aRCRD,VALLANDES,CALLE,V,5,,,,c/v Hermenegildo Bielsa y Calesas,MADRID,MADRID,28026,5,MOSCARDO,12,USERA,440357,4471597,40.390958149227075,-3.70404293417357,,,,CamposEstadiosFutbol, 
4528631,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6342001,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4548373,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4548373,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4580902,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555797,Instalación Deportiva Municipal Básica Los Coronales,,, campo de futbol  (cesped artificial),campo de futbol 11,futbol 11,"Bus: 105 , 112 , 115 , 151",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c46e6210e00e1110VgnVCM1000000b205a0aRCRD,BAHIA DE MALAGA,CALLE,V,5,,,,,MADRID,MADRID,28042,5,CORRALEJOS,21,BARAJAS,449474,4479760,40.46697124729341,-3.5960084512507975,,,,CamposEstadiosFutbol, 
4560927,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5706141,Instalación Deportiva Municipal Básica Los Morales - Patrimonio Humanidad I,,, campo de futbol sala,campo de futbol 11,futbol 11,"Metro: La Peseta.Bus: 35 , 155",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=05088ea1ffde8210VgnVCM2000000c205a0aRCRD,PATRIMONIO DE LA HUMANIDAD,CALLE,V,37,,,,Parc. 3.10.4 del P.A.U. de Carabanchel,MADRID,MADRID,28054,6,BUENAVISTA,11,CARABANCHEL,435170,4468229,40.36210281029443,-3.7635483773274845,,,,CamposEstadiosFutbol, 
4660152,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4556968,Instalación Deportiva Municipal Básica Lucano,,, campo de futbol pista polideportiva,campo de futbol 11,futbol 11,"Bus: 28 , 48 , 140",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2675edf4b85e1110VgnVCM1000000b205a0aRCRD,LUCANO,CALLE,V,,,,,c/v Esfinge,MADRID,MADRID,28022,7,CANILLEJAS,20,SAN BLAS-CANILLEJAS,448411,4476874,40.439035523688,-3.6095923854429737,,,,CamposEstadiosFutbol, 
6297321,,,, campo de futbol ,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555804,Instalación Deportiva Municipal Básica Maris Stella,,, campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Bus: 81 , 121",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a7216210e00e1110VgnVCM1000000b205a0aRCRD,DOCTOR TOLOSA LATOUR,CALLE,V,18,,,,Frente C. Informat. S.S.,MADRID,MADRID,28026,7,PRADOLONGO,12,USERA,440401,4469895,40.37561971602255,-3.703376726464257,,,,CamposEstadiosFutbol, 
4547376,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178423,,,, campo de futbol  (cesped artificial),campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
