ID,CALLE,DISTRITO,CODIGOPOSTAL,COORDENADA-X,COORDENADA-Y
441950.4667-4476206.212,"CALLE LAGASCA, 114",SALAMANCA,28006.0,441950.4667,4476206.212
441953.2648-4475112.924,"CALLE VELAZQUEZ, 29",SALAMANCA,28001.0,441953.2648,4475112.924
441953.3742-4480896.678,"CALLE PABLO LUNA, 2",CHAMARTIN,28046.0,441953.3742,4480896.678
441954.0-4475528.53,"Calle  Ayala, 42 ",SALAMANCA,28001.0,441954.0,4475528.53
441954.8725-4475307.604,"CALLE HERMOSILLA, 33",SALAMANCA,28001.0,441954.8725,4475307.604
441957.4729-4479809.575,"CALLE MATEO INURRIA, 14",CHAMARTIN,28036.0,441957.4729,4479809.575
441958.32-4481194.78,"Calle  Conde de Torralba, 8 ",CHAMARTIN,28046.0,441958.32,4481194.78
441961.8541-4481152.358,"CALLE CONDE DE TORRALBA, 15",CHAMARTIN,28046.0,441961.8541,4481152.358
441963.0-4481096.0,"CALLE CONDE DE TORRALBA, 8",CHAMARTIN,28046.0,441963.0,4481096.0
441964.0-4475461.0,"CALLE AYALA, 29",SALAMANCA,28001.0,441964.0,4475461.0
441964.75-4482728.21,"CALLE ISLA GRACIOSA, 10",FUENCARRAL-EL PARDO,28034.0,441964.75,4482728.21
441966.0-4479590.0,"CALLE FRANCISCO SUAREZ, 7",CHAMARTIN,28036.0,441966.0,4479590.0
441966.39-4472215.35,"calle  Méndez Álvaro, 44 edficio Repsol",ARGANZUELA,28045.0,441966.39,4472215.35
441968.3962-4476536.715,"CALLE LAGASCA, 133",SALAMANCA,28006.0,441968.3962,4476536.715
441968.4026-4480959.755,"CALLE PABLO LUNA, 3",CHAMARTIN,28046.0,441968.4026,4480959.755
441969.7916-4481299.07,"CALLE VIEJAS, 11",CHAMARTIN,28046.0,441969.7916,4481299.07
441970.2696-4480305.992,"CALLE AGUSTIN DE FOXA, 31",CHAMARTIN,28046.0,441970.2696,4480305.992
441970.83-4481739.83,"AVENIDA LLANO CASTELLANO, 5",FUENCARRAL-EL PARDO,28034.0,441970.83,4481739.83
441970.9426-4480867.256,"CALLE MANUEL CALDEIRO, 18",CHAMARTIN,28046.0,441970.9426,4480867.256
441971.365-4475355.028,"CALLE VELAZQUEZ, 43",SALAMANCA,28001.0,441971.365,4475355.028
441972.4959-4475131.927,"CALLE VELAZQUEZ, 30",SALAMANCA,28001.0,441972.4959,4475131.927
441973.3635-4481201.174,"CALLE CONDE DE TORRALBA, 19",CHAMARTIN,28046.0,441973.3635,4481201.174
441976.0-4467917.0,"VILLAVERDE A VALLECAS, CTRA Nº0 FRT C/UNANIMIDAD AV SAN MARTIN VEGA",VILLAVERDE,28041.0,441976.0,4467917.0
441977.5706-4479937.794,"CALLE MANUEL FERRERO, 20",CHAMARTIN,28036.0,441977.5706,4479937.794
441979.2-4471772.0,"Calle  Estrella Denébola, 5 ",ARGANZUELA,28045.0,441979.2,4471772.0
441979.71-4467163.63,"CALLE DE EDUARDO MARISTANY, 9",VILLAVERDE,28021.0,441979.71,4467163.63
441979.77-4481735.84,"AVENIDA LLANO CASTELLANO, 5",FUENCARRAL-EL PARDO,28034.0,441979.77,4481735.84
441981.02-4467431.7,"CALLE DEL AMERICIO, 17",VILLAVERDE,28021.0,441981.02,4467431.7
441981.7188-4482651.0,"LLANO CASTELLANO, AV Nº0 ESQ C/ ARANZO NTRA.SRA.VALVER",FUENCARRAL-EL PARDO,28034.0,441981.7188,4482651.0
441982.1609-4481021.773,"CALLE PABLO LUNA, 8",CHAMARTIN,28046.0,441982.1609,4481021.773
441982.2604-4476914.942,"CALLE CASTELLON DE LA PLANA, 12",CHAMARTIN,28006.0,441982.2604,4476914.942
441982.35-4467163.73,"CALLE DE EDUARDO MARISTANY, 9",VILLAVERDE,28021.0,441982.35,4467163.73
