,ID,TIPO,UBICACION,HORARIO
211,Contenedor de pilas-438030-4476121,CONTENEDOR DE PILAS,438030.0-4476121.0,24 horas
212,Contenedor de pilas-438036.3125-4476878,CONTENEDOR DE PILAS,438036.3125-4476878.0,24 horas
213,Contenedor de pilas-438055.0938-4472961,CONTENEDOR DE PILAS,438055.0938-4472961.0,24 horas
214,Contenedor de pilas-438059-4476617.5,CONTENEDOR DE PILAS,438059.0-4476617.5,24 horas
215,Contenedor de pilas-438102.5-4473379,CONTENEDOR DE PILAS,438102.5-4473379.0,24 horas
216,Contenedor de pilas-438105-4481954,CONTENEDOR DE PILAS,438105.0-4481954.0,24 horas
217,Contenedor de pilas-438109.25-4470824.5,CONTENEDOR DE PILAS,438109.25-4470824.5,24 horas
218,Contenedor de pilas-438216-4475797,CONTENEDOR DE PILAS,438216.0-4475797.0,24 horas
219,Contenedor de pilas-438244-4471565,CONTENEDOR DE PILAS,438244.0-4471565.0,24 horas
220,Contenedor de pilas-438245.75-4481846.5,CONTENEDOR DE PILAS,438245.75-4481846.5,24 horas
221,Contenedor de pilas-438278-4470474,CONTENEDOR DE PILAS,438278.0-4470474.0,24 horas
222,Contenedor de pilas-438292-4478699,CONTENEDOR DE PILAS,438292.0-4478699.0,24 horas
223,Contenedor de pilas-438298-4474112,CONTENEDOR DE PILAS,438298.0-4474112.0,24 horas
224,Contenedor de pilas-438315.9375-4477955.5,CONTENEDOR DE PILAS,438315.9375-4477955.5,24 horas
225,Contenedor de pilas-438380.0938-4469663.5,CONTENEDOR DE PILAS,438380.0938-4469663.5,24 horas
226,Contenedor de pilas-438381.4063-4471062,CONTENEDOR DE PILAS,438381.4063-4471062.0,24 horas
227,Contenedor de pilas-438399-4477908,CONTENEDOR DE PILAS,438399.0-4477908.0,24 horas
228,Contenedor de pilas-438404-4477654,CONTENEDOR DE PILAS,438404.0-4477654.0,24 horas
229,Contenedor de pilas-438407-4471729,CONTENEDOR DE PILAS,438407.0-4471729.0,24 horas
230,Contenedor de pilas-438410.1563-4471328.5,CONTENEDOR DE PILAS,438410.1563-4471328.5,24 horas
231,Contenedor de pilas-438422.1563-4475296,CONTENEDOR DE PILAS,438422.1563-4475296.0,24 horas
232,Contenedor de pilas-438424-4473767,CONTENEDOR DE PILAS,438424.0-4473767.0,24 horas
233,Contenedor de pilas-438428.3438-4477024.5,CONTENEDOR DE PILAS,438428.3438-4477024.5,24 horas
234,Contenedor de pilas-438430-4469646,CONTENEDOR DE PILAS,438430.0-4469646.0,24 horas
235,Contenedor de pilas-438430-4475550,CONTENEDOR DE PILAS,438430.0-4475550.0,24 horas
236,Contenedor de pilas-438456-4479342,CONTENEDOR DE PILAS,438456.0-4479342.0,24 horas
237,Contenedor de pilas-438459-4477442,CONTENEDOR DE PILAS,438459.0-4477442.0,24 horas
238,Contenedor de pilas-438494-4477195,CONTENEDOR DE PILAS,438494.0-4477195.0,24 horas
239,Contenedor de pilas-438526-4472628,CONTENEDOR DE PILAS,438526.0-4472628.0,24 horas
240,Contenedor de pilas-438547-4471774,CONTENEDOR DE PILAS,438547.0-4471774.0,24 horas
241,Contenedor de pilas-438557.8125-4474156,CONTENEDOR DE PILAS,438557.8125-4474156.0,24 horas
242,Contenedor de pilas-438577-4475337,CONTENEDOR DE PILAS,438577.0-4475337.0,24 horas
243,Contenedor de pilas-438577-4480331,CONTENEDOR DE PILAS,438577.0-4480331.0,24 horas
244,Contenedor de pilas-438582-4473208,CONTENEDOR DE PILAS,438582.0-4473208.0,24 horas
245,Contenedor de pilas-438584-4481658,CONTENEDOR DE PILAS,438584.0-4481658.0,24 horas
